"magnitude","accelaration","status","depth","water_depth","total_stress","effective_stress","test_value","CSR","type"
5.9,0.1,"NO",4.1,2.7,63.71,49.97,114.6,0.07,"SWV"
5.9,0.12,"NO",4.65,1.5,79.28,48.38,122.9,0.11,"SWV"
5.9,0.12,"NO",4.65,1.5,79.28,48.38,136.7,0.11,"SWV"
5.9,0.12,"NO",4.65,1.5,79.28,48.38,133.6,0.11,"SWV"
7,0.38,"Yes",6.455,3.5,107.96,78.97,182.1,0.26,"SWV"
7,0.34,"Yes",7.4,5,119.61,96.07,166.4,0.22,"SWV"
7,0.4,"Yes",7.4,5.6,117.1,99.44,134.8,0.2,"SWV"
7,0.4,"NO",6.205,6.2,81.86,81.86,166.2,0.21,"SWV"
7,0.38,"NO",5.45,3.5,81.31,62.18,187,0.26,"SWV"
7,0.26,"NO",5,2.4,78.49,52.98,153.1,0.2,"SWV"
7,0.26,"NO",3.65,1.8,59.43,41.28,159,0.2,"SWV"
7,0.47,"Yes",3.15,1.5,51.44,35.3,222.9,0.43,"SWV"
7,0.21,"Yes",8.055,3,135.53,85.94,182.4,0.19,"SWV"
7,0.21,"Yes",4.305,2.1,70.2,48.57,124.6,0.16,"SWV"
7,0.21,"Yes",7.5,1.8,130.66,74.74,135.1,0.15,"SWV"
7,0.24,"Yes",4.105,1.9,67.4,45.77,147.1,0.19,"SWV"
7,0.25,"Yes",8.055,1.4,138.27,72.99,151.1,0.21,"SWV"
7,0.25,"Yes",2.855,1.2,45.63,29.4,151.3,0.23,"SWV"
7,0.25,"NO",4.155,1.5,67.59,41.55,206.3,0.25,"SWV"
7,0.11,"NO",8.9,6.4,129.5,104.97,157.6,0.06,"SWV"
7,0.14,"Yes",8.35,1.4,148.18,80,144.2,0.12,"SWV"
7,0.14,"Yes",8.35,1.4,148.18,80,147.7,0.12,"SWV"
7,0.14,"Yes",8.35,1.4,148.18,80,132.8,0.12,"SWV"
7,0.14,"Yes",8.35,1.4,148.18,80,132.4,0.12,"SWV"
7,0.46,"Yes",6.75,5,107.26,90.1,145.6,0.24,"SWV"
7,0.41,"Yes",7,4.7,113.27,90.71,129.3,0.2,"SWV"
7,0.41,"Yes",8.7,3,152.71,96.79,147.5,0.27,"SWV"
7,0.46,"Yes",7.4,4.9,119.99,95.57,157.6,0.26,"SWV"
7,0.19,"NO",4.75,2.4,77.08,54.03,172,0.16,"SWV"
7,0.36,"Yes",6.65,4.2,108.72,84.69,164.1,0.23,"SWV"
7,0.36,"Yes",7.5,4.8,122.35,95.87,162.6,0.21,"SWV"
7,0.22,"Yes",3.405,1.8,54.9,39.15,146.7,0.17,"SWV"
7,0.36,"Yes",4.5,1.9,77.43,51.97,126.4,0.24,"SWV"
7,0.22,"NO",3.205,2.1,52.08,41.24,143.6,0.16,"SWV"
7,0.22,"NO",3.45,2.5,55.06,45.74,124.1,0.13,"SWV"
7,0.22,"Yes",4.5,1.9,77.43,51.97,136.6,0.17,"SWV"
7,0.26,"Yes",4.5,2.4,75.43,54.83,124,0.19,"SWV"
7,0.26,"Yes",4.05,2.4,66.88,50.69,125,0.18,"SWV"
7,0.25,"NO",4.155,1.5,67.59,41.55,219,0.25,"SWV"
7,0.25,"NO",4.155,1.5,67.59,41.55,239.6,0.26,"SWV"
7,0.15,"NO",9.85,6,155.24,117.47,172.1,0.09,"SWV"
7,0.15,"NO",8.75,6,134.89,107.92,154.9,0.09,"SWV"
7,0.42,"NO",4,1.8,65.77,44.48,204.9,0.36,"SWV"
7,0.42,"Yes",2.2,1.2,35.21,25.6,135.8,0.36,"SWV"
7,0.42,"Yes",2.6,0.6,45.4,25.78,141.9,0.46,"SWV"
7,0.42,"Yes",3.25,2.1,50.68,39.4,209.7,0.33,"SWV"
7,0.42,"NO",2.15,1.8,31.55,28.41,175.2,0.29,"SWV"
7,0.14,"Yes",8.35,1.4,152.77,84.59,142.4,0.12,"SWV"
7,0.22,"Yes",4.6,0.8,83.95,46.72,160.5,0.23,"SWV"
7,0.33,"Yes",6.055,5.3,88.18,80.78,144.1,0.19,"SWV"
7,0.13,"NO",5.255,4.2,74.44,64.09,153.6,0.08,"SWV"
7,0.14,"Yes",8.35,1.4,148.18,80,140.6,0.12,"SWV"
7,0.25,"Yes",3.8,1.9,61.76,43.12,168,0.21,"SWV"
7,0.25,"Yes",3.2,1.8,51.11,37.37,154.8,0.21,"SWV"
7,0.25,"Yes",5.85,2.3,97.88,63.06,188,0.21,"SWV"
7,0.25,"Yes",2.85,1.8,44.63,34.33,145.7,0.2,"SWV"
7,0.25,"Yes",4.5,1.7,75.61,48.14,172,0.23,"SWV"
7,0.25,"Yes",3.3,1.2,55.65,35.05,152,0.24,"SWV"
7,0.15,"Yes",4.55,2.7,72.03,53.88,147.6,0.12,"SWV"
7,0.13,"NO",7.2,1.5,126.45,70.54,168.9,0.12,"SWV"
7,0.15,"Yes",5.75,2.4,95.58,62.72,147.9,0.13,"SWV"
7,0.14,"Yes",4,1.4,67.7,42.2,162.8,0.13,"SWV"
7,0.15,"Yes",4.55,2.7,72.03,53.88,148.4,0.12,"SWV"
7.6,0.4,"Yes",2.55,1.5,40.43,30.13,161.8,0.34,"SWV"
7.6,0.4,"Yes",7.6,2,131.61,76.67,159.3,0.37,"SWV"
7.6,0.4,"Yes",2.75,1,46.38,29.21,118.5,0.36,"SWV"
7.6,0.4,"Yes",6,1,106.5,57.45,127.9,0.32,"SWV"
7.6,0.4,"Yes",4,1,69.5,40.07,139.5,0.41,"SWV"
7.6,0.46,"Yes",4.5,1.6,76.12,47.53,197.6,0.44,"SWV"
7.6,0.4,"Yes",6.15,1.5,107.03,61.41,134.8,0.39,"SWV"
7.6,0.4,"Yes",9,2,157.51,88.84,164.1,0.35,"SWV"
7.7,0.14,"Yes",7,2,120.51,71.46,148.4,0.11,"SWV"
7.7,0.14,"Yes",4.75,2,78.88,51.9,122.5,0.11,"SWV"
7.7,0.14,"Yes",6.5,3,106.76,72.42,157.8,0.11,"SWV"
7.7,0.14,"Yes",6.5,2,111.26,67.11,142.5,0.1,"SWV"
7.7,0.16,"Yes",6.35,2,108.48,65.81,166.1,0.15,"SWV"
7.7,0.14,"NO",7.5,2,129.76,75.8,209.9,0.14,"SWV"
7.7,0.14,"Yes",4.8,3,75.31,57.65,138.8,0.11,"SWV"
7.7,0.19,"Yes",1.75,1,27.88,20.52,81.7,0.16,"SWV"
