Mw,Liq,Crit. Depth,Depthto,Svo,Esvo,Amax,rd,VS1,CSR,DWF,CSR*,Pl,CRR
8,Yes,2.15,1.1,28.1,17.31,0.4,0.99,201.7,0.42,0.920755871,0.456,1.717238895,0.17974131
8,Yes,3.85,0.7,67.84,36.69,0.45,0.97,171.7,0.53,0.920755871,0.576,4.90544394,0.046917362
8,NO,6.1,1.1,91,41.95,0.4,0.94,283.3,0.53,0.920755871,0.576,-7.094894969,17.66765001
8,Yes,4.1,1.1,59,29.57,0.35,0.89,177.9,0.4,0.920755871,0.434,3.353272871,0.076258396
8,NO,4.785,1.1,69.96,33.81,0.4,0.81,217.5,0.43,0.920755871,0.467,0.380497071,0.356283437
8,Yes,8.15,1.5,121.7,55.98,0.4,0.84,216.5,0.48,0.920755871,0.521,0.933374977,0.30261778
8,NO,4.8,1.5,67.8,35.43,0.4,0.99,336.6,0.49,0.920755871,0.532,-17.29670148,2528.676925
8,NO,3,1,42,22.38,0.4,0.97,251.9,0.48,0.920755871,0.521,-3.045450711,2.162420955
8,Yes,3,1.1,41.4,22.76,0.4,0.97,194.8,0.46,0.920755871,0.500,2.661975709,0.123415827
8,Yes,1.35,0.7,17.4,11.03,0.2,0.99,190.5,0.2,0.920755871,0.217,-0.385455435,0.241973118
8,Yes,2.25,1.4,27.9,19.08,0.2,0.94,142,0.18,0.920755871,0.195,2.137126473,0.062595515
8,NO,3.95,3.1,44.61,36.27,0.2,0.98,243.2,0.16,0.920755871,0.174,-6.407130367,3.796608428
8,Yes,6,1.1,89.4,41.33,0.2,0.85,173.6,0.24,0.920755871,0.261,1.579482267,0.10994589
8,Yes,5.5,2,92.76,58.42,0.2,0.74,140.9,0.15,0.920755871,0.163,1.471937694,0.072467489
8,NO,5.5,0.8,98.29,51.89,0.2,0.78,181.7,0.19,0.920755871,0.206,0.088703815,0.181850094
8,Yes,5.1,2.2,68.41,39.96,0.4,0.89,184.5,0.39,0.920755871,0.424,2.792532983,0.098096568
8,NO,7.5,3,102.01,57.86,0.4,0.95,265.2,0.44,0.920755871,0.478,-5.153746522,5.619433501
8,Yes,2.25,1.3,28.2,18.88,0.45,0.99,184.2,0.43,0.920755871,0.467,3.193976643,0.088692869
8,Yes,5.95,1.5,86.2,42.55,0.4,0.87,152.8,0.46,0.920755871,0.500,5.426250027,0.031479347
8,Yes,3.55,1.3,49.3,26.74,0.3,0.95,191,0.34,0.920755871,0.369,1.741407988,0.14377709
